id	X-Coordinate	Y-Coordinate	Z	M
694	147.79499817	-41.14170074	0	0
695	145.84199524	-41.15670013	0	0
696	147.81700134	-41.16999817	0	0
697	146.79499817	-41.19329834	0	0
698	146.79800415	-41.19329834	0	0
699	146.80200195	-41.19829941	0	0
700	146.32699585	-41.20000076	0	0
701	146.78799438	-41.20000076	0	0
702	147.88699341	-41.20330048	0	0
703	147.85200500	-41.22499847	0	0
704	146.30499268	-41.22999954	0	0
705	145.76300049	-41.23170090	0	0
706	146.29800415	-41.25000000	0	0
707	145.84300232	-41.26330185	0	0
708	146.24800110	-41.28329849	0	0
709	145.71800232	-41.33829880	0	0
710	146.26300049	-41.34999847	0	0
711	146.27200317	-41.37500000	0	0
712	145.73199463	-41.42499924	0	0
713	145.55499268	-41.44829941	0	0
714	147.08500671	-41.44829941	0	0
715	145.44700623	-41.45669937	0	0
716	145.53999329	-41.45669937	0	0
717	146.08000183	-41.47000122	0	0
718	145.44299316	-41.47999954	0	0
719	146.13200378	-41.47999954	0	0
720	145.23199463	-41.48329926	0	0
721	147.30499268	-41.50329971	0	0
722	145.20500183	-41.50500107	0	0
723	146.22000122	-41.63499832	0	0
724	146.38200378	-41.68170166	0	0
725	145.65699768	-41.68330002	0	0
726	145.65199280	-41.70000076	0	0
727	147.09300232	-41.70169830	0	0
728	147.07699585	-41.71500015	0	0
729	145.14199829	-41.72499847	0	0
730	147.07499695	-41.72499847	0	0
